model_name,model_type,fold,params,metric,score
knn_k3_uniform_euclidean,knn,0,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.7988826815642458
knn_k3_distance_euclidean,knn,0,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8212290502793296
knn_k5_uniform_euclidean,knn,0,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8324022346368715
knn_k5_distance_euclidean,knn,0,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8268156424581006
knn_k5_distance_manhattan,knn,0,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.8324022346368715
knn_k7_distance_euclidean,knn,0,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8324022346368715
knn_k7_distance_manhattan,knn,0,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.8379888268156425
knn_k7_uniform_manhattan,knn,0,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8379888268156425
knn_k7_uniform_euclidean,knn,0,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8491620111731844
knn_k11_uniform_euclidean,knn,0,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8547486033519553
knn_k11_distance_euclidean,knn,0,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8268156424581006
knn_k11_uniform_manhattan,knn,0,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8603351955307262
knn_k13_distance_euclidean,knn,0,"{'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8268156424581006
knn_k13_uniform_euclidean,knn,0,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8547486033519553
