model_name,model_type,fold,params,metric,score
knn_k3_uniform_euclidean,knn,0,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.7627118644067796
knn_k3_distance_euclidean,knn,0,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.7344632768361582
knn_k5_uniform_euclidean,knn,0,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8135593220338984
knn_k5_distance_euclidean,knn,0,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.807909604519774
knn_k5_distance_manhattan,knn,0,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.807909604519774
knn_k7_distance_euclidean,knn,0,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8192090395480226
knn_k7_distance_manhattan,knn,0,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.8192090395480226
knn_k7_uniform_manhattan,knn,0,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8192090395480226
knn_k7_uniform_euclidean,knn,0,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8361581920903954
knn_k11_uniform_euclidean,knn,0,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.847457627118644
knn_k11_distance_euclidean,knn,0,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8192090395480226
knn_k11_uniform_manhattan,knn,0,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8418079096045198
knn_k13_distance_euclidean,knn,0,"{'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8248587570621468
knn_k13_uniform_euclidean,knn,0,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.847457627118644
knn_k13_uniform_manhattan,knn,0,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8418079096045198
knn_k3_uniform_euclidean,knn,1,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8315789473684211
knn_k3_distance_euclidean,knn,1,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8368421052631579
knn_k5_uniform_euclidean,knn,1,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8315789473684211
knn_k5_distance_euclidean,knn,1,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8368421052631579
knn_k5_distance_manhattan,knn,1,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.8052631578947368
knn_k7_distance_euclidean,knn,1,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8315789473684211
knn_k7_distance_manhattan,knn,1,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.8526315789473684
knn_k7_uniform_manhattan,knn,1,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8210526315789474
knn_k7_uniform_euclidean,knn,1,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8052631578947368
knn_k11_uniform_euclidean,knn,1,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8210526315789474
knn_k11_distance_euclidean,knn,1,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8473684210526315
knn_k11_uniform_manhattan,knn,1,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8
knn_k13_distance_euclidean,knn,1,"{'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8526315789473684
knn_k13_uniform_euclidean,knn,1,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8105263157894737
knn_k13_uniform_manhattan,knn,1,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.7842105263157895
knn_k3_uniform_euclidean,knn,2,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8012048192771084
knn_k3_distance_euclidean,knn,2,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.7951807228915663
knn_k5_uniform_euclidean,knn,2,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.7951807228915663
knn_k5_distance_euclidean,knn,2,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.7951807228915663
knn_k5_distance_manhattan,knn,2,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.7891566265060241
knn_k7_distance_euclidean,knn,2,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}",accuracy,0.8253012048192772
knn_k7_distance_manhattan,knn,2,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}",accuracy,0.8313253012048193
knn_k7_uniform_manhattan,knn,2,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}",accuracy,0.8253012048192772
knn_k7_uniform_euclidean,knn,2,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",accuracy,0.8253012048192772
