model_name,model_type,fold,params,metric,score
rf_100_depth_none,random_forest,0,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.807909604519774
rf_100_depth_1,random_forest,0,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7796610169491526
rf_100_depth_2,random_forest,0,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7796610169491526
rf_100_depth_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8135593220338984
rf_100_depth_5,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8192090395480226
rf_100_depth_7,random_forest,0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8192090395480226
rf_100_depth_none,random_forest,1,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8736842105263158
rf_100_depth_1,random_forest,1,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8052631578947368
rf_100_depth_2,random_forest,1,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8263157894736842
rf_100_depth_3,random_forest,1,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8421052631578947
rf_100_depth_5,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_7,random_forest,1,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8421052631578947
rf_100_depth_none,random_forest,2,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8313253012048193
rf_100_depth_1,random_forest,2,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8253012048192772
rf_100_depth_2,random_forest,2,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8253012048192772
rf_100_depth_3,random_forest,2,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8433734939759037
rf_100_depth_5,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8734939759036144
rf_100_depth_7,random_forest,2,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8433734939759037
rf_100_depth_none,random_forest,3,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7945945945945946
rf_100_depth_1,random_forest,3,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7783783783783784
rf_100_depth_2,random_forest,3,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7837837837837838
rf_100_depth_3,random_forest,3,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.827027027027027
rf_100_depth_5,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8216216216216217
rf_100_depth_7,random_forest,3,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8054054054054054
rf_100_depth_none,random_forest,4,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.815028901734104
rf_100_depth_1,random_forest,4,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.6936416184971098
rf_100_depth_2,random_forest,4,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7456647398843931
rf_100_depth_3,random_forest,4,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7687861271676301
rf_100_depth_5,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7745664739884393
rf_100_depth_7,random_forest,4,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7861271676300579
