model_name,model_type,fold,params,metric,score
rf_100_depth_none,random_forest,0,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8379888268156425
rf_100_depth_1,random_forest,0,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8044692737430168
rf_100_depth_2,random_forest,0,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8100558659217877
rf_100_depth_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8379888268156425
rf_100_depth_5,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8491620111731844
rf_100_depth_7,random_forest,0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8324022346368715
rf_100_depth_none,random_forest,1,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7921348314606742
rf_100_depth_1,random_forest,1,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7640449438202247
rf_100_depth_2,random_forest,1,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7921348314606742
rf_100_depth_3,random_forest,1,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8202247191011236
rf_100_depth_5,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8539325842696629
rf_100_depth_7,random_forest,1,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8146067415730337
rf_100_depth_none,random_forest,2,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8146067415730337
rf_100_depth_1,random_forest,2,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7640449438202247
rf_100_depth_2,random_forest,2,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7696629213483146
rf_100_depth_3,random_forest,2,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8314606741573034
rf_100_depth_5,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8370786516853933
rf_100_depth_7,random_forest,2,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8314606741573034
rf_100_depth_none,random_forest,3,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8033707865168539
rf_100_depth_1,random_forest,3,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7865168539325843
rf_100_depth_2,random_forest,3,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.797752808988764
rf_100_depth_3,random_forest,3,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8033707865168539
rf_100_depth_5,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8089887640449438
rf_100_depth_7,random_forest,3,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8146067415730337
rf_100_depth_none,random_forest,4,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8033707865168539
rf_100_depth_1,random_forest,4,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7696629213483146
rf_100_depth_2,random_forest,4,"{'n_estimators': 100, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7808988764044944
rf_100_depth_3,random_forest,4,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.797752808988764
