model_name,model_type,fold,params,metric,score
rf_100_depth_4_leaf_1,random_forest,0,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_4_leaf_2,random_forest,0,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_4_leaf_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_4_leaf_4,random_forest,0,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8192090395480226
rf_100_depth_5_leaf_1,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8192090395480226
rf_100_depth_5_leaf_2,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_5_leaf_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8305084745762712
rf_100_depth_5_leaf_4,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_6_leaf_1,random_forest,0,"{'n_estimators': 100, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8135593220338984
rf_100_depth_6_leaf_2,random_forest,0,"{'n_estimators': 100, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.807909604519774
rf_100_depth_6_leaf_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_6_leaf_4,random_forest,0,"{'n_estimators': 100, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8135593220338984
rf_100_depth_7_leaf_1,random_forest,0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8192090395480226
rf_100_depth_7_leaf_2,random_forest,0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_7_leaf_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8135593220338984
rf_100_depth_7_leaf_4,random_forest,0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_100_depth_4_leaf_1,random_forest,1,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8631578947368421
rf_100_depth_4_leaf_2,random_forest,1,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8631578947368421
rf_100_depth_4_leaf_3,random_forest,1,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_4_leaf_4,random_forest,1,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_1,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_2,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_3,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_4,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8578947368421053
rf_100_depth_6_leaf_1,random_forest,1,"{'n_estimators': 100, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8473684210526315
