model_name,model_type,fold,params,metric,score
catboost_300_lr_005_depth_4_l2_1,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_300_lr_005_depth_4_l2_3,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_300_lr_005_depth_4_l2_5,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_300_lr_005_depth_4_l2_7,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_300_lr_005_depth_4_l2_10,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8361581920903954
catboost_300_lr_005_depth_4_l2_1,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8421052631578947
catboost_300_lr_005_depth_4_l2_3,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8473684210526315
catboost_300_lr_005_depth_4_l2_5,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8526315789473684
catboost_300_lr_005_depth_4_l2_7,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8526315789473684
catboost_300_lr_005_depth_4_l2_10,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8526315789473684
catboost_300_lr_005_depth_4_l2_1,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8614457831325302
catboost_300_lr_005_depth_4_l2_3,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8493975903614458
catboost_300_lr_005_depth_4_l2_5,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8493975903614458
catboost_300_lr_005_depth_4_l2_7,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8493975903614458
catboost_300_lr_005_depth_4_l2_10,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8493975903614458
catboost_300_lr_005_depth_4_l2_1,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7837837837837838
catboost_300_lr_005_depth_4_l2_3,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7945945945945946
catboost_300_lr_005_depth_4_l2_5,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7837837837837838
catboost_300_lr_005_depth_4_l2_7,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7891891891891892
catboost_300_lr_005_depth_4_l2_10,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7891891891891892
catboost_300_lr_005_depth_4_l2_1,catboost,4,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
catboost_300_lr_005_depth_4_l2_3,catboost,4,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
catboost_300_lr_005_depth_4_l2_5,catboost,4,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
catboost_300_lr_005_depth_4_l2_7,catboost,4,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
catboost_300_lr_005_depth_4_l2_10,catboost,4,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
