model_name,model_type,fold,params,metric,score
logistic_regression_no_regularization,logistic_regression,0,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.847457627118644
logreg_l1,logistic_regression,0,"{'penalty': 'l1', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8418079096045198
logreg_l2,logistic_regression,0,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8418079096045198
logreg_elasticnet,logistic_regression,0,"{'penalty': 'elasticnet', 'C': 1.0, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8418079096045198
logistic_regression_no_regularization,logistic_regression,1,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8157894736842105
logreg_l1,logistic_regression,1,"{'penalty': 'l1', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8315789473684211
logreg_l2,logistic_regression,1,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8157894736842105
logreg_elasticnet,logistic_regression,1,"{'penalty': 'elasticnet', 'C': 1.0, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8368421052631579
logistic_regression_no_regularization,logistic_regression,2,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8493975903614458
logreg_l1,logistic_regression,2,"{'penalty': 'l1', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8493975903614458
logreg_l2,logistic_regression,2,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8493975903614458
logreg_elasticnet,logistic_regression,2,"{'penalty': 'elasticnet', 'C': 1.0, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8493975903614458
logistic_regression_no_regularization,logistic_regression,3,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.827027027027027
logreg_l1,logistic_regression,3,"{'penalty': 'l1', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8216216216216217
logreg_l2,logistic_regression,3,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8216216216216217
logreg_elasticnet,logistic_regression,3,"{'penalty': 'elasticnet', 'C': 1.0, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8216216216216217
logistic_regression_no_regularization,logistic_regression,4,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.791907514450867
logreg_l1,logistic_regression,4,"{'penalty': 'l1', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.7803468208092486
logreg_l2,logistic_regression,4,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.7861271676300579
logreg_elasticnet,logistic_regression,4,"{'penalty': 'elasticnet', 'C': 1.0, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.7803468208092486
