model_name,model_type,fold,params,metric,score
catboost_300_lr_005_d4_l2_10_bootstrap_bayesian,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8361581920903954
catboost_300_lr_005_d4_l2_10_bootstrap_bernoulli,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8}",accuracy,0.8248587570621468
catboost_300_lr_005_d4_l2_10_bootstrap_mvs,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'MVS', 'subsample': 0.8}",accuracy,0.8192090395480226
catboost_300_lr_005_d4_l2_10_bootstrap_no,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'No'}",accuracy,0.8192090395480226
catboost_300_lr_005_d4_l2_10_bootstrap_bayesian,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8526315789473684
catboost_300_lr_005_d4_l2_10_bootstrap_bernoulli,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8}",accuracy,0.8315789473684211
catboost_300_lr_005_d4_l2_10_bootstrap_mvs,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'MVS', 'subsample': 0.8}",accuracy,0.8631578947368421
catboost_300_lr_005_d4_l2_10_bootstrap_no,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'No'}",accuracy,0.8421052631578947
catboost_300_lr_005_d4_l2_10_bootstrap_bayesian,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8493975903614458
catboost_300_lr_005_d4_l2_10_bootstrap_bernoulli,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8}",accuracy,0.8554216867469879
catboost_300_lr_005_d4_l2_10_bootstrap_mvs,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'MVS', 'subsample': 0.8}",accuracy,0.8433734939759037
catboost_300_lr_005_d4_l2_10_bootstrap_no,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'No'}",accuracy,0.8493975903614458
catboost_300_lr_005_d4_l2_10_bootstrap_bayesian,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7891891891891892
catboost_300_lr_005_d4_l2_10_bootstrap_bernoulli,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8}",accuracy,0.7837837837837838
catboost_300_lr_005_d4_l2_10_bootstrap_mvs,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 10, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'MVS', 'subsample': 0.8}",accuracy,0.7945945945945946
