model_name,model_type,fold,params,metric,score
lgbm_300_lr_005_depth_2_leaves_4,lightgbm,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'num_leaves': 4, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_300_lr_005_depth_3_leaves_8,lightgbm,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 8, 'objective': 'binary'}",accuracy,0.807909604519774
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8305084745762712
lgbm_300_lr_005_depth_2_leaves_4,lightgbm,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'num_leaves': 4, 'objective': 'binary'}",accuracy,0.8473684210526315
lgbm_300_lr_005_depth_3_leaves_8,lightgbm,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 8, 'objective': 'binary'}",accuracy,0.8421052631578947
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8368421052631579
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8368421052631579
lgbm_300_lr_005_depth_2_leaves_4,lightgbm,2,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'num_leaves': 4, 'objective': 'binary'}",accuracy,0.8674698795180723
lgbm_300_lr_005_depth_3_leaves_8,lightgbm,2,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 8, 'objective': 'binary'}",accuracy,0.8493975903614458
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8493975903614458
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8614457831325302
lgbm_300_lr_005_depth_2_leaves_4,lightgbm,3,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'num_leaves': 4, 'objective': 'binary'}",accuracy,0.772972972972973
lgbm_300_lr_005_depth_3_leaves_8,lightgbm,3,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 8, 'objective': 'binary'}",accuracy,0.7837837837837838
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,3,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.7837837837837838
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,3,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.7783783783783784
lgbm_300_lr_005_depth_2_leaves_4,lightgbm,4,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'num_leaves': 4, 'objective': 'binary'}",accuracy,0.7745664739884393
lgbm_300_lr_005_depth_3_leaves_8,lightgbm,4,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'num_leaves': 8, 'objective': 'binary'}",accuracy,0.7687861271676301
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,4,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.7803468208092486
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,4,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.7803468208092486
