model_name,model_type,fold,params,metric,score
lgbm_50_lr_003_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8192090395480226
lgbm_50_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8192090395480226
lgbm_50_lr_007_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 50, 'learning_rate': 0.07, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_50_lr_01_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_100_lr_003_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 100, 'learning_rate': 0.03, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8192090395480226
lgbm_100_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_100_lr_007_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 100, 'learning_rate': 0.07, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8135593220338984
lgbm_100_lr_01_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_50_lr_003_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8631578947368421
lgbm_50_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8631578947368421
