model_name,model_type,fold,params,metric,score
xgb_50_lr_005_depth_2,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8192090395480226
xgb_100_lr_005_depth_2,xgboost,0,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8192090395480226
xgb_200_lr_005_depth_2,xgboost,0,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8248587570621468
xgb_300_lr_005_depth_2,xgboost,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8248587570621468
xgb_500_lr_005_depth_2,xgboost,0,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8248587570621468
xgb_50_lr_005_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8248587570621468
xgb_100_lr_005_depth_3,xgboost,0,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8135593220338984
xgb_200_lr_005_depth_3,xgboost,0,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8192090395480226
xgb_300_lr_005_depth_3,xgboost,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8192090395480226
xgb_500_lr_005_depth_3,xgboost,0,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8248587570621468
xgb_50_lr_005_depth_2,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8578947368421053
xgb_100_lr_005_depth_2,xgboost,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8526315789473684
xgb_200_lr_005_depth_2,xgboost,1,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8526315789473684
xgb_300_lr_005_depth_2,xgboost,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8526315789473684
xgb_500_lr_005_depth_2,xgboost,1,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.868421052631579
xgb_50_lr_005_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8526315789473684
xgb_100_lr_005_depth_3,xgboost,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8526315789473684
xgb_200_lr_005_depth_3,xgboost,1,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8473684210526315
xgb_300_lr_005_depth_3,xgboost,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8631578947368421
xgb_500_lr_005_depth_3,xgboost,1,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8421052631578947
xgb_50_lr_005_depth_2,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8493975903614458
xgb_100_lr_005_depth_2,xgboost,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8734939759036144
