model_name,model_type,fold,params,metric,score
xgb_50_lr_003_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_005_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8248587570621468
xgb_50_lr_007_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.07, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_01_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_003_depth_2,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 2}",accuracy,0.8192090395480226
xgb_50_lr_005_depth_2,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8192090395480226
xgb_50_lr_007_depth_2,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.07, 'max_depth': 2}",accuracy,0.8192090395480226
xgb_50_lr_01_depth_2,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 2}",accuracy,0.8192090395480226
xgb_50_lr_003_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.8473684210526315
xgb_50_lr_005_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8526315789473684
xgb_50_lr_007_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.07, 'max_depth': 3}",accuracy,0.8526315789473684
xgb_50_lr_01_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3}",accuracy,0.8526315789473684
xgb_50_lr_003_depth_2,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 2}",accuracy,0.8526315789473684
xgb_50_lr_005_depth_2,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 2}",accuracy,0.8578947368421053
xgb_50_lr_007_depth_2,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.07, 'max_depth': 2}",accuracy,0.8631578947368421
xgb_50_lr_01_depth_2,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 2}",accuracy,0.8526315789473684
xgb_50_lr_003_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.8554216867469879
xgb_50_lr_005_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8734939759036144
