model_name,model_type,fold,params,metric,score
xgb_50_lr_003_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_0035_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.035, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_004_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.04, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_0045_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.045, 'max_depth': 3}",accuracy,0.8305084745762712
xgb_50_lr_005_depth_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8248587570621468
xgb_50_lr_003_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.8473684210526315
xgb_50_lr_0035_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.035, 'max_depth': 3}",accuracy,0.8473684210526315
xgb_50_lr_004_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.04, 'max_depth': 3}",accuracy,0.8473684210526315
xgb_50_lr_0045_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.045, 'max_depth': 3}",accuracy,0.8473684210526315
xgb_50_lr_005_depth_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8526315789473684
xgb_50_lr_003_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.8554216867469879
xgb_50_lr_0035_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.035, 'max_depth': 3}",accuracy,0.8554216867469879
xgb_50_lr_004_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.04, 'max_depth': 3}",accuracy,0.8554216867469879
xgb_50_lr_0045_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.045, 'max_depth': 3}",accuracy,0.8734939759036144
xgb_50_lr_005_depth_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8734939759036144
xgb_50_lr_003_depth_3,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.827027027027027
xgb_50_lr_0035_depth_3,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.035, 'max_depth': 3}",accuracy,0.827027027027027
xgb_50_lr_004_depth_3,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.04, 'max_depth': 3}",accuracy,0.827027027027027
xgb_50_lr_0045_depth_3,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.045, 'max_depth': 3}",accuracy,0.827027027027027
xgb_50_lr_005_depth_3,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.8162162162162162
xgb_50_lr_003_depth_3,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.03, 'max_depth': 3}",accuracy,0.7803468208092486
xgb_50_lr_0035_depth_3,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.035, 'max_depth': 3}",accuracy,0.7745664739884393
xgb_50_lr_004_depth_3,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.04, 'max_depth': 3}",accuracy,0.7687861271676301
xgb_50_lr_0045_depth_3,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.045, 'max_depth': 3}",accuracy,0.7687861271676301
xgb_50_lr_005_depth_3,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3}",accuracy,0.7745664739884393
