model_name,model_type,fold,params,metric,score
xgb_50_lr_005_depth_3_mcw_1,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1}",accuracy,0.8248587570621468
xgb_50_lr_005_depth_3_mcw_2,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2}",accuracy,0.8248587570621468
xgb_50_lr_005_depth_3_mcw_3,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3}",accuracy,0.8022598870056498
xgb_50_lr_005_depth_3_mcw_5,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5}",accuracy,0.7966101694915254
xgb_50_lr_005_depth_3_mcw_10,xgboost,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 10}",accuracy,0.7966101694915254
xgb_50_lr_005_depth_3_mcw_1,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1}",accuracy,0.8526315789473684
xgb_50_lr_005_depth_3_mcw_2,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2}",accuracy,0.8526315789473684
xgb_50_lr_005_depth_3_mcw_3,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3}",accuracy,0.8526315789473684
xgb_50_lr_005_depth_3_mcw_5,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5}",accuracy,0.8526315789473684
xgb_50_lr_005_depth_3_mcw_10,xgboost,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 10}",accuracy,0.8210526315789474
xgb_50_lr_005_depth_3_mcw_1,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1}",accuracy,0.8734939759036144
xgb_50_lr_005_depth_3_mcw_2,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2}",accuracy,0.8734939759036144
xgb_50_lr_005_depth_3_mcw_3,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3}",accuracy,0.8734939759036144
xgb_50_lr_005_depth_3_mcw_5,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5}",accuracy,0.8855421686746988
xgb_50_lr_005_depth_3_mcw_10,xgboost,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 10}",accuracy,0.8433734939759037
xgb_50_lr_005_depth_3_mcw_1,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1}",accuracy,0.8162162162162162
xgb_50_lr_005_depth_3_mcw_2,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2}",accuracy,0.8162162162162162
xgb_50_lr_005_depth_3_mcw_3,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3}",accuracy,0.8162162162162162
xgb_50_lr_005_depth_3_mcw_5,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5}",accuracy,0.8162162162162162
xgb_50_lr_005_depth_3_mcw_10,xgboost,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 10}",accuracy,0.7891891891891892
xgb_50_lr_005_depth_3_mcw_1,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1}",accuracy,0.7745664739884393
xgb_50_lr_005_depth_3_mcw_2,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2}",accuracy,0.7745664739884393
xgb_50_lr_005_depth_3_mcw_3,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3}",accuracy,0.7803468208092486
xgb_50_lr_005_depth_3_mcw_5,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5}",accuracy,0.7745664739884393
xgb_50_lr_005_depth_3_mcw_10,xgboost,4,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 10}",accuracy,0.7745664739884393
