model_name,model_type,fold,params,metric,score
logistic_regression_no_regularization,logistic_regression,0,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8435754189944135
logreg_l1,logistic_regression,0,"{'penalty': 'l1', 'C': 0.05, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8044692737430168
logreg_l2,logistic_regression,0,"{'penalty': 'l2', 'C': 0.05, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8435754189944135
logreg_elasticnet,logistic_regression,0,"{'penalty': 'elasticnet', 'C': 0.05, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8379888268156425
logistic_regression_no_regularization,logistic_regression,1,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8426966292134831
logreg_l1,logistic_regression,1,"{'penalty': 'l1', 'C': 0.05, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8146067415730337
logreg_l2,logistic_regression,1,"{'penalty': 'l2', 'C': 0.05, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8426966292134831
logreg_elasticnet,logistic_regression,1,"{'penalty': 'elasticnet', 'C': 0.05, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8426966292134831
logistic_regression_no_regularization,logistic_regression,2,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8258426966292135
logreg_l1,logistic_regression,2,"{'penalty': 'l1', 'C': 0.05, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.797752808988764
logreg_l2,logistic_regression,2,"{'penalty': 'l2', 'C': 0.05, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8314606741573034
logreg_elasticnet,logistic_regression,2,"{'penalty': 'elasticnet', 'C': 0.05, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8370786516853933
logistic_regression_no_regularization,logistic_regression,3,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8089887640449438
logreg_l1,logistic_regression,3,"{'penalty': 'l1', 'C': 0.05, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8146067415730337
logreg_l2,logistic_regression,3,"{'penalty': 'l2', 'C': 0.05, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8146067415730337
logreg_elasticnet,logistic_regression,3,"{'penalty': 'elasticnet', 'C': 0.05, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8202247191011236
logistic_regression_no_regularization,logistic_regression,4,"{'penalty': None, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8033707865168539
logreg_l1,logistic_regression,4,"{'penalty': 'l1', 'C': 0.05, 'solver': 'liblinear', 'max_iter': 5000}",accuracy,0.8033707865168539
logreg_l2,logistic_regression,4,"{'penalty': 'l2', 'C': 0.05, 'solver': 'lbfgs', 'max_iter': 5000}",accuracy,0.8146067415730337
logreg_elasticnet,logistic_regression,4,"{'penalty': 'elasticnet', 'C': 0.05, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 5000}",accuracy,0.8033707865168539
