model_name,model_type,fold,params,metric,score
catboost_200_lr_01_depth_4_l2_3,catboost,0,"{'iterations': 200, 'learning_rate': 0.1, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_300_lr_005_depth_4_l2_3,catboost,0,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_500_lr_003_depth_4_l2_3,catboost,0,"{'iterations': 500, 'learning_rate': 0.03, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_800_lr_002_depth_4_l2_3,catboost,0,"{'iterations': 800, 'learning_rate': 0.02, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8248587570621468
catboost_1000_lr_001_depth_4_l2_3,catboost,0,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8135593220338984
catboost_200_lr_01_depth_4_l2_3,catboost,1,"{'iterations': 200, 'learning_rate': 0.1, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8578947368421053
catboost_300_lr_005_depth_4_l2_3,catboost,1,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8473684210526315
catboost_500_lr_003_depth_4_l2_3,catboost,1,"{'iterations': 500, 'learning_rate': 0.03, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8578947368421053
catboost_800_lr_002_depth_4_l2_3,catboost,1,"{'iterations': 800, 'learning_rate': 0.02, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8578947368421053
catboost_1000_lr_001_depth_4_l2_3,catboost,1,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8473684210526315
catboost_200_lr_01_depth_4_l2_3,catboost,2,"{'iterations': 200, 'learning_rate': 0.1, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8614457831325302
catboost_300_lr_005_depth_4_l2_3,catboost,2,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8493975903614458
catboost_500_lr_003_depth_4_l2_3,catboost,2,"{'iterations': 500, 'learning_rate': 0.03, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8614457831325302
catboost_800_lr_002_depth_4_l2_3,catboost,2,"{'iterations': 800, 'learning_rate': 0.02, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8614457831325302
catboost_1000_lr_001_depth_4_l2_3,catboost,2,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.8554216867469879
catboost_200_lr_01_depth_4_l2_3,catboost,3,"{'iterations': 200, 'learning_rate': 0.1, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7891891891891892
catboost_300_lr_005_depth_4_l2_3,catboost,3,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7945945945945946
catboost_500_lr_003_depth_4_l2_3,catboost,3,"{'iterations': 500, 'learning_rate': 0.03, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7837837837837838
catboost_800_lr_002_depth_4_l2_3,catboost,3,"{'iterations': 800, 'learning_rate': 0.02, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7783783783783784
catboost_1000_lr_001_depth_4_l2_3,catboost,3,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7945945945945946
catboost_200_lr_01_depth_4_l2_3,catboost,4,"{'iterations': 200, 'learning_rate': 0.1, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7687861271676301
catboost_300_lr_005_depth_4_l2_3,catboost,4,"{'iterations': 300, 'learning_rate': 0.05, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
catboost_500_lr_003_depth_4_l2_3,catboost,4,"{'iterations': 500, 'learning_rate': 0.03, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
catboost_800_lr_002_depth_4_l2_3,catboost,4,"{'iterations': 800, 'learning_rate': 0.02, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7745664739884393
catboost_1000_lr_001_depth_4_l2_3,catboost,4,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'eval_metric': 'Accuracy', 'bootstrap_type': 'Bayesian'}",accuracy,0.7861271676300579
