model_name,model_type,fold,params,metric,score
lgbm_50_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8192090395480226
lgbm_100_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_200_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8192090395480226
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8305084745762712
lgbm_500_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8305084745762712
lgbm_800_lr_005_depth_5_leaves_32,lightgbm,0,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8418079096045198
lgbm_50_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8135593220338984
lgbm_100_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.807909604519774
lgbm_200_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8192090395480226
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_500_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_800_lr_005_depth_4_leaves_16,lightgbm,0,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8248587570621468
lgbm_50_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8631578947368421
lgbm_100_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8578947368421053
lgbm_200_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8473684210526315
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8368421052631579
lgbm_500_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8421052631578947
lgbm_800_lr_005_depth_5_leaves_32,lightgbm,1,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8473684210526315
lgbm_50_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8631578947368421
lgbm_100_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8578947368421053
lgbm_200_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8631578947368421
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8368421052631579
lgbm_500_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8421052631578947
lgbm_800_lr_005_depth_4_leaves_16,lightgbm,1,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8526315789473684
lgbm_50_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8734939759036144
lgbm_100_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8554216867469879
lgbm_200_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8554216867469879
lgbm_300_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8614457831325302
lgbm_500_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8554216867469879
lgbm_800_lr_005_depth_5_leaves_32,lightgbm,2,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8313253012048193
lgbm_50_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8674698795180723
lgbm_100_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8734939759036144
lgbm_200_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8433734939759037
lgbm_300_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8493975903614458
lgbm_500_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8493975903614458
lgbm_800_lr_005_depth_4_leaves_16,lightgbm,2,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'num_leaves': 16, 'objective': 'binary'}",accuracy,0.8253012048192772
lgbm_50_lr_005_depth_5_leaves_32,lightgbm,3,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8
lgbm_100_lr_005_depth_5_leaves_32,lightgbm,3,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.8
lgbm_200_lr_005_depth_5_leaves_32,lightgbm,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'num_leaves': 32, 'objective': 'binary'}",accuracy,0.7837837837837838
