model_name,model_type,fold,params,metric,score
rf_100_depth_5_leaf_3,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8305084745762712
rf_200_depth_5_leaf_3,random_forest,0,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_300_depth_5_leaf_3,random_forest,0,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8248587570621468
rf_500_depth_5_leaf_3,random_forest,0,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8305084745762712
rf_100_depth_5_leaf_3,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_200_depth_5_leaf_3,random_forest,1,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_300_depth_5_leaf_3,random_forest,1,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_500_depth_5_leaf_3,random_forest,1,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_3,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8795180722891566
rf_200_depth_5_leaf_3,random_forest,2,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8795180722891566
rf_300_depth_5_leaf_3,random_forest,2,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8795180722891566
rf_500_depth_5_leaf_3,random_forest,2,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8795180722891566
rf_100_depth_5_leaf_3,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8378378378378378
rf_200_depth_5_leaf_3,random_forest,3,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8324324324324325
rf_300_depth_5_leaf_3,random_forest,3,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8324324324324325
rf_500_depth_5_leaf_3,random_forest,3,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8432432432432433
rf_100_depth_5_leaf_3,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7745664739884393
rf_200_depth_5_leaf_3,random_forest,4,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7745664739884393
rf_300_depth_5_leaf_3,random_forest,4,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7745664739884393
rf_500_depth_5_leaf_3,random_forest,4,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7745664739884393
