model_name,model_type,fold,params,metric,score
rf_100_depth_5_leaf_3_mf_sqrt,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8305084745762712
rf_100_depth_5_leaf_3_mf_log2,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",accuracy,0.8305084745762712
rf_100_depth_5_leaf_3_mf_none,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",accuracy,0.8192090395480226
rf_100_depth_5_leaf_3_mf_05,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'bootstrap': True}",accuracy,0.807909604519774
rf_100_depth_5_leaf_3_mf_075,random_forest,0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.75, 'bootstrap': True}",accuracy,0.8135593220338984
rf_100_depth_5_leaf_3_mf_sqrt,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_3_mf_log2,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_3_mf_none,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",accuracy,0.868421052631579
rf_100_depth_5_leaf_3_mf_05,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'bootstrap': True}",accuracy,0.8526315789473684
rf_100_depth_5_leaf_3_mf_075,random_forest,1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.75, 'bootstrap': True}",accuracy,0.8473684210526315
rf_100_depth_5_leaf_3_mf_sqrt,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8795180722891566
rf_100_depth_5_leaf_3_mf_log2,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",accuracy,0.8795180722891566
rf_100_depth_5_leaf_3_mf_none,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",accuracy,0.8734939759036144
rf_100_depth_5_leaf_3_mf_05,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'bootstrap': True}",accuracy,0.8795180722891566
rf_100_depth_5_leaf_3_mf_075,random_forest,2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.75, 'bootstrap': True}",accuracy,0.8614457831325302
rf_100_depth_5_leaf_3_mf_sqrt,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.8378378378378378
rf_100_depth_5_leaf_3_mf_log2,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",accuracy,0.8378378378378378
rf_100_depth_5_leaf_3_mf_none,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",accuracy,0.8054054054054054
rf_100_depth_5_leaf_3_mf_05,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'bootstrap': True}",accuracy,0.8162162162162162
rf_100_depth_5_leaf_3_mf_075,random_forest,3,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.75, 'bootstrap': True}",accuracy,0.8054054054054054
rf_100_depth_5_leaf_3_mf_sqrt,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",accuracy,0.7745664739884393
rf_100_depth_5_leaf_3_mf_log2,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",accuracy,0.7745664739884393
rf_100_depth_5_leaf_3_mf_none,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",accuracy,0.7687861271676301
rf_100_depth_5_leaf_3_mf_05,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'bootstrap': True}",accuracy,0.7745664739884393
rf_100_depth_5_leaf_3_mf_075,random_forest,4,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.75, 'bootstrap': True}",accuracy,0.7687861271676301
